data_name,num_classes,data_type,size,rho,distribution,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,augmentation_rho,augmentation_percentage,augmentation_top_k,wce_alpha,fl_gamma,test_f1_macro,test_f1_macro_std,val_f1_macro,train_f1_macro,train_f1_per_label_0,train_f1_per_label_1,train_f1_per_label_2,train_f1_per_label_3,train_f1_per_label_4,train_accuracy,train_precision_macro,train_precision_weighted,train_recall_macro,train_recall_weighted,train_auprc,val_f1_per_label_0,val_f1_per_label_1,val_f1_per_label_2,val_f1_per_label_3,val_f1_per_label_4,val_accuracy,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_auprc,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",sampling_modifiedRS_undersampling,3.0,-,-,-,-,-,-,73.97,2.66,79.88,98.74,99.37,98.12,0.0,0.0,0.0,99.06,98.69,99.07,98.81,99.06,99.87,96.79,62.97,0.0,0.0,0.0,94.1,80.32,94.12,79.67,94.1,80.21,95.71,52.23,0.0,0.0,0.0,92.13,73.34,92.37,74.8,92.13,77.39
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",th,-,-,-,-,-,-,-,75.27,2.12,78.11,99.13,99.86,98.4,0.0,0.0,0.0,99.74,99.1,99.75,99.16,99.74,99.93,96.84,59.38,0.0,0.0,0.0,94.13,81.29,93.68,75.7,94.13,78.12,96.17,54.36,0.0,0.0,0.0,92.93,76.03,92.75,74.66,92.93,77.44
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_abusive_lexicon,-,-,5.0,0.1,3,-,-,75.67,0.96,79.02,99.6,99.87,99.34,0.0,0.0,0.0,99.78,99.63,99.78,99.58,99.78,99.99,96.63,61.41,0.0,0.0,0.0,93.8,78.93,93.83,79.13,93.8,82.07,95.84,55.5,0.0,0.0,0.0,92.4,74.38,92.88,77.23,92.4,78.74
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",sampling_modifiedRS_oversampling,5.0,-,-,-,-,-,-,75.85,2.6,78.84,99.47,99.83,99.12,0.0,0.0,0.0,99.71,99.51,99.71,99.44,99.71,99.96,96.93,60.76,0.0,0.0,0.0,94.3,82.33,93.94,76.36,94.3,82.3,96.28,55.42,0.0,0.0,0.0,93.13,77.4,92.97,74.77,93.13,78.51
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",baseline,-,-,-,-,-,-,-,75.99,0.46,78.25,98.51,99.76,97.26,0.0,0.0,0.0,99.57,98.73,99.56,98.3,99.57,99.7,96.7,59.81,0.0,0.0,0.0,93.9,80.31,93.72,76.9,93.9,80.72,95.94,56.04,0.0,0.0,0.0,92.57,75.09,93.01,77.32,92.57,80.33
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",fl,-,-,-,-,-,-,0.5,76.75,0.91,79.42,99.13,99.86,98.41,0.0,0.0,0.0,99.74,99.04,99.75,99.22,99.74,99.86,96.9,61.94,0.0,0.0,0.0,94.27,81.37,94.01,77.86,94.27,82.5,96.29,57.2,0.0,0.0,0.0,93.17,76.81,93.16,76.69,93.17,79.04
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_external_data_preprocessing,-,-,2.0,-,-,-,-,76.77,3.04,79.5,99.7,99.8,99.6,0.0,0.0,0.0,99.73,99.71,99.73,99.69,99.73,99.97,96.96,62.04,0.0,0.0,0.0,94.37,82.18,94.08,77.54,94.37,82.39,96.34,57.21,0.0,0.0,0.0,93.27,77.51,93.28,76.75,93.27,80.8
civil-comments-20k,2,bin,20000,11.35,"{'0_non-toxic': 0.919, '1_toxic': 0.081}",th,-,-,-,-,-,-,-,77.66,1.14,78.55,98.23,99.71,96.74,0.0,0.0,0.0,99.47,98.27,99.47,98.18,99.47,99.55,96.13,60.97,0.0,0.0,0.0,92.97,76.46,93.77,81.49,92.97,81.79,96.05,59.27,0.0,0.0,0.0,92.81,76.03,93.45,79.86,92.81,81.44
civil-comments-20k,2,bin,20000,11.35,"{'0_non-toxic': 0.919, '1_toxic': 0.081}",augmentation_external_data_preprocessing,-,-,7.5,-,-,-,-,77.88,0.65,79.28,99.31,99.84,98.77,0.0,0.0,0.0,99.71,99.35,99.71,99.26,99.71,99.92,96.7,61.85,0.0,0.0,0.0,93.93,79.81,93.84,78.83,93.93,82.5,96.6,59.15,0.0,0.0,0.0,93.72,79.43,93.46,76.6,93.72,81.34
civil-comments-20k,2,bin,20000,11.35,"{'0_non-toxic': 0.919, '1_toxic': 0.081}",augmentation_abusive_lexicon,-,-,7.5,0.3,5,-,-,78.09,0.62,79.13,98.61,99.67,97.54,0.0,0.0,0.0,99.42,98.66,99.42,98.55,99.42,99.77,96.79,61.47,0.0,0.0,0.0,94.07,80.59,93.82,77.87,94.07,82.42,96.7,59.48,0.0,0.0,0.0,93.89,80.22,93.54,76.32,93.89,81.55
civil-comments-20k,2,bin,20000,11.35,"{'0_non-toxic': 0.919, '1_toxic': 0.081}",sampling_modifiedRS_undersampling,7.5,-,-,-,-,-,-,78.73,1.7,79.27,97.23,99.35,95.11,0.0,0.0,0.0,98.85,97.22,98.85,97.24,98.85,99.2,96.49,62.05,0.0,0.0,0.0,93.58,78.91,93.97,80.42,93.57,82.87,96.41,61.05,0.0,0.0,0.0,93.43,78.48,93.77,79.54,93.43,82.17
civil-comments-20k,2,bin,20000,11.35,"{'0_non-toxic': 0.919, '1_toxic': 0.081}",fl,-,-,-,-,-,-,5.0,78.83,1.31,78.45,95.84,99.33,92.36,0.0,0.0,0.0,98.77,95.96,98.76,95.73,98.77,98.73,96.75,60.15,0.0,0.0,0.0,93.99,80.8,93.69,76.75,93.99,82.86,96.86,60.79,0.0,0.0,0.0,94.19,81.68,93.82,76.72,94.19,82.87
civil-comments-20k,2,bin,20000,11.35,"{'0_non-toxic': 0.919, '1_toxic': 0.081}",sampling_modifiedRS_oversampling,5.0,-,-,-,-,-,-,79.07,1.56,79.08,99.0,99.67,98.33,0.0,0.0,0.0,99.44,99.0,99.44,99.0,99.44,99.81,96.54,61.63,0.0,0.0,0.0,93.65,79.0,93.87,79.71,93.65,82.56,96.54,61.6,0.0,0.0,0.0,93.65,79.28,93.87,79.42,93.65,82.6
civil-comments-20k,2,bin,20000,11.35,"{'0_non-toxic': 0.919, '1_toxic': 0.081}",baseline,-,-,-,-,-,-,-,79.19,1.24,78.64,97.91,99.66,96.16,0.0,0.0,0.0,99.38,97.92,99.38,97.89,99.38,99.26,96.48,60.8,0.0,0.0,0.0,93.53,78.3,93.66,79.08,93.53,81.98,96.61,61.78,0.0,0.0,0.0,93.77,79.1,93.82,79.39,93.77,82.1
civil-comments-40k,2,bin,40000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",th,-,-,-,-,-,-,-,77.73,0.25,77.34,98.82,99.81,97.82,0.0,0.0,0.0,99.65,98.86,99.65,98.78,99.65,99.77,96.06,58.63,0.0,0.0,0.0,92.8,75.58,93.43,79.61,92.8,80.07,96.1,59.37,0.0,0.0,0.0,92.88,75.82,93.57,80.27,92.88,81.09
civil-comments-40k,2,bin,40000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_external_data_preprocessing,-,-,3.0,-,-,-,-,78.85,0.54,79.65,98.96,99.48,98.44,0.0,0.0,0.0,99.22,99.05,99.22,98.87,99.22,99.88,96.95,62.35,0.0,0.0,0.0,94.35,81.87,94.13,78.09,94.35,82.37,96.79,60.91,0.0,0.0,0.0,94.07,80.59,93.88,77.64,94.07,81.92
civil-comments-40k,2,bin,40000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",fl,-,-,-,-,-,-,5.0,78.85,0.82,79.43,97.16,99.55,94.78,0.0,0.0,0.0,99.17,97.17,99.17,97.16,99.17,99.24,96.82,62.04,0.0,0.0,0.0,94.14,80.48,93.98,78.57,94.14,82.67,96.69,61.01,0.0,0.0,0.0,93.9,79.46,93.82,78.39,93.9,83.29
civil-comments-40k,2,bin,40000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_abusive_lexicon,-,-,7.5,0.3,5,-,-,79.11,0.44,79.58,98.3,99.6,97.0,0.0,0.0,0.0,99.3,98.44,99.3,98.17,99.3,99.67,96.93,62.23,0.0,0.0,0.0,94.32,81.58,94.08,78.07,94.32,82.68,96.82,61.4,0.0,0.0,0.0,94.12,80.61,93.93,77.96,94.12,83.43
civil-comments-40k,2,bin,40000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",sampling_modifiedRS_undersampling,7.5,-,-,-,-,-,-,79.21,0.35,79.39,97.36,99.38,95.35,0.0,0.0,0.0,98.9,97.18,98.91,97.54,98.9,99.13,96.6,62.19,0.0,0.0,0.0,93.76,78.88,94.01,80.32,93.76,83.1,96.56,61.87,0.0,0.0,0.0,93.69,78.64,93.97,80.23,93.69,83.14
civil-comments-40k,2,bin,40000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",baseline,-,-,-,-,-,-,-,79.22,0.55,79.24,97.55,99.61,95.48,0.0,0.0,0.0,99.28,97.81,99.28,97.29,99.28,99.18,96.75,61.73,0.0,0.0,0.0,94.01,80.13,93.94,78.62,94.01,82.43,96.79,61.66,0.0,0.0,0.0,94.08,80.46,93.96,78.36,94.08,82.94
civil-comments-40k,2,bin,40000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",sampling_modifiedRS_oversampling,5.0,-,-,-,-,-,-,79.65,0.85,79.16,98.78,99.59,97.96,0.0,0.0,0.0,99.32,98.81,99.32,98.75,99.32,99.82,96.7,61.61,0.0,0.0,0.0,93.93,79.67,93.91,78.89,93.93,82.97,96.73,62.56,0.0,0.0,0.0,93.99,79.67,94.07,79.91,93.99,83.89
civil-comments-5k-7p5,2,bin,5006,7.51,"{'0_non-toxic': 0.883, '1_toxic': 0.117}",baseline,-,-,-,-,-,-,-,78.95,2.16,79.32,98.64,99.68,97.6,0.0,0.0,0.0,99.43,98.58,99.43,98.7,99.43,99.55,95.42,63.22,0.0,0.0,0.0,91.87,82.21,91.91,78.22,91.87,83.59,95.26,62.63,0.0,0.0,0.0,91.62,81.16,91.63,78.24,91.62,85.22
civil-comments-5k-7p5,2,bin,5006,7.51,"{'0_non-toxic': 0.883, '1_toxic': 0.117}",augmentation_abusive_lexicon,-,-,3.0,0.3,3,-,-,78.98,0.94,80.38,99.45,99.72,99.17,0.0,0.0,0.0,99.58,99.48,99.58,99.41,99.58,99.95,95.35,65.41,0.0,0.0,0.0,91.81,80.14,91.94,80.78,91.81,82.77,94.78,63.18,0.0,0.0,0.0,90.85,77.83,91.33,80.37,90.85,84.71
civil-comments-5k-7p5,2,bin,5006,7.51,"{'0_non-toxic': 0.883, '1_toxic': 0.117}",fl,-,-,-,-,-,-,1.0,79.05,0.42,80.1,98.66,99.69,97.64,0.0,0.0,0.0,99.44,98.7,99.44,98.62,99.44,99.77,95.05,65.15,0.0,0.0,0.0,91.34,78.92,91.91,81.75,91.34,83.72,94.63,63.46,0.0,0.0,0.0,90.65,77.63,91.5,81.24,90.65,85.99
civil-comments-5k-7p5,2,bin,5006,7.51,"{'0_non-toxic': 0.883, '1_toxic': 0.117}",th,-,-,-,-,-,-,-,79.47,0.36,78.82,99.65,99.92,99.38,0.0,0.0,0.0,99.86,99.71,99.86,99.59,99.86,99.98,95.49,62.15,0.0,0.0,0.0,91.94,81.76,91.45,76.65,91.94,82.04,95.34,63.59,0.0,0.0,0.0,91.75,81.15,91.66,78.56,91.75,82.96
civil-comments-5k-7p5,2,bin,5006,7.51,"{'0_non-toxic': 0.883, '1_toxic': 0.117}",augmentation_external_data_preprocessing,-,-,3.0,-,-,-,-,79.57,0.5,79.93,99.33,99.67,99.0,0.0,0.0,0.0,99.5,99.35,99.5,99.31,99.5,99.91,95.19,64.66,0.0,0.0,0.0,91.54,79.66,91.82,80.63,91.54,82.63,95.01,64.12,0.0,0.0,0.0,91.25,78.96,91.59,80.48,91.25,85.37
civil-comments-5k-7p5,2,bin,5006,7.51,"{'0_non-toxic': 0.883, '1_toxic': 0.117}",sampling_modifiedRS_oversampling,2.0,-,-,-,-,-,-,80.3,0.76,79.28,99.53,99.69,99.37,0.0,0.0,0.0,99.58,99.52,99.58,99.54,99.58,99.8,95.6,62.97,0.0,0.0,0.0,92.14,82.87,91.77,77.01,92.14,83.41,95.68,64.92,0.0,0.0,0.0,92.32,82.96,92.06,78.63,92.32,84.23
civil-comments-5k-7p5,2,bin,5006,7.51,"{'0_non-toxic': 0.883, '1_toxic': 0.117}",sampling_modifiedRS_undersampling,5.0,-,-,-,-,-,-,81.46,1.53,79.96,97.88,99.29,96.47,0.0,0.0,0.0,98.82,97.75,98.82,98.01,98.82,99.3,95.54,64.37,0.0,0.0,0.0,92.07,81.52,91.83,78.83,92.07,84.35,95.71,67.22,0.0,0.0,0.0,92.42,81.97,92.31,81.01,92.42,86.3
