data_name,num_classes,data_type,label_col,variant,sampling_modifiedRS_mode,sampling_modifiedRS_rho,sampling_weightedRS_percentage,loss,wce_alpha,fl_gamma,pl_seed,val_f1_macro,test_f1_macro,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc,mlflow_run_id
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.5, 0.6000000238418579, 0.10000000149011612)",ignored,21,0.7560060620307922,0.7374459505081177,0.40449437499046326,0.9392437934875488,0.8685996532440186,0,0.8940891623497009,0.7357558012008667,0.8994905948638916,0.7414023876190186,0.8940891623497009,0.7407051920890808,6c466c0c7d9442e498c66706ba2f9bd0
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.5, 0.4000000059604645, 0.5)",ignored,42,0.7701965570449829,0.7502671480178833,0.4137931168079376,0.9443867206573486,0.8926214575767517,0,0.9061932563781738,0.7547379732131958,0.9040353298187256,0.7462019920349121,0.9061932563781738,0.7560497522354126,007b1b758a0b4373aff141f6a3f92250
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,2.0,Loss.CE_Loss,ignored,ignored,0,0.7496968507766724,0.7330167293548584,0.4006410241127014,0.9338521361351013,0.8645569682121277,0,0.8892475366592407,0.7379661798477173,0.8948536515235901,0.7316598296165466,0.8892475366592407,0.7555100917816162,72a7e17fda7e44c1a591b87d74572a80
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.9000000357627869, 0.10000000149011612, 0.30000001192092896)",ignored,0,0.7683044075965881,0.7528557777404785,0.43895748257637024,0.9331543445587158,0.8864553570747375,0,0.8886423110961914,0.725357174873352,0.909211277961731,0.7960966229438782,0.8886423110961914,0.7576596736907959,dc5f3205045040b69cd378a50e7f9f33
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.5, 0.6000000238418579, 0.10000000149011612)",ignored,42,0.726381778717041,0.6983068585395813,0.3044397532939911,0.9394170045852661,0.8510638475418091,0,0.8952995538711548,0.7396189570426941,0.8848298192024231,0.6698907613754272,0.8952996134757996,0.7412816882133484,aeb3f2ef63574563a21c3a8312fac048
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.9000000357627869, 0.10000000149011612, 0.30000001192092896)",ignored,21,0.7581644058227539,0.7562754154205322,0.45241379737854004,0.9339183568954468,0.8824940323829651,0,0.89005446434021,0.7361946105957031,0.9079853296279907,0.7906799912452698,0.89005446434021,0.7712486982345581,e030502fec5c4fca84f9c7fb71e911a7
davidson-thon,3,multi,label_multi,baseline,ignored,ignored,ignored,Loss.CE_Loss,ignored,ignored,0,0.732390820980072,0.7507129311561584,0.4033970236778259,0.9501737952232361,0.8985680341720581,0,0.9154730439186096,0.7819740772247314,0.9068928956985474,0.7325225472450256,0.9154731035232544,0.7631902694702148,3332bd4e5e14483094ea58407bef2862
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,-0.5,Loss.CE_Loss,ignored,ignored,21,0.7474792003631592,0.7358770370483398,0.40100881457328796,0.9216564893722534,0.8849658370018005,0,0.8735122084617615,0.705906867980957,0.9046199321746826,0.7910106182098389,0.8735122084617615,0.7630741596221924,925c37b3974a4a058cad67ae919de069
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.5, 0.4, 0.5)",ignored,21,0.7553876638412476,0.7463325262069702,0.4107142984867096,0.9451345801353455,0.8831488490104675,0,0.9047811031341553,0.7546493411064148,0.9032549858093262,0.7385266423225403,0.9047811031341553,0.7629469633102417,9d45829db360462fb8e37949ac3824bd
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.5, 0.6000000238418579, 0.20000000298023224)",ignored,0,0.7567404508590698,0.7533259391784668,0.426716148853302,0.9454451203346252,0.8878166675567627,0,0.9076054096221924,0.7623717784881592,0.904292643070221,0.7453821301460266,0.9076054096221924,0.765702486038208,6dd10bf17a6347f288c16bc5f820834b
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.9000000357627869, 0.4000000059604645, 0.800000011920929)",ignored,42,0.7671178579330444,0.7463148832321167,0.3978102207183838,0.9449024796485901,0.8962318897247314,0,0.9061932563781738,0.7439576983451843,0.9045954346656799,0.7498947381973267,0.9061932563781738,0.7566148042678833,324e0ed92ae443f8bba6bf5cbc4a7c30
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.5, 0.4000000059604645, 0.5)",ignored,0,0.7575287818908691,0.7493441700935364,0.4093567132949829,0.9452090263366699,0.8934667706489563,0,0.9086140990257263,0.7603424787521362,0.903343915939331,0.7422360181808472,0.9086140394210815,0.7651578187942505,ce1645ed411a4fbeb1a333b0a8abc120
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,0.5,Loss.CE_Loss,ignored,ignored,0,0.7579904794692993,0.7518534660339355,0.4223107695579529,0.9458166360855103,0.8874329924583435,0,0.9094210267066956,0.7700837850570679,0.9032452702522278,0.7392756938934326,0.9094210267066956,0.7599956393241882,a4d6e49de71a4a7b8e9f7b3326a7ecff
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.9000000357627869, 0.10000000149011612, 0.30000001192092896)",ignored,42,0.7705938816070557,0.7553575038909912,0.43295636773109436,0.9401777386665344,0.892938494682312,0,0.9001412391662598,0.7364618182182312,0.9073691964149475,0.7777018547058105,0.900141179561615,0.7590769529342651,05585de8560142d79baa9c16edb7f101
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.10000000149011612, 0.699999988079071, 0.9000000357627869)",ignored,0,0.7064756751060486,0.7225273847579956,0.3239436745643616,0.9493963718414307,0.8942420482635498,0,0.9130522608757019,0.7682487964630127,0.9004341959953308,0.705941915512085,0.9130522608757019,0.7534886598587036,8c65ffa0d4b2412880dfbeae4c06a3c0
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.5, 0.6000000238418579, 0.20000000298023224)",ignored,42,0.7274136543273926,0.7303833961486816,0.3798449635505676,0.9422211050987244,0.8690841794013977,0,0.900948166847229,0.7491189241409302,0.8949278593063354,0.7150930166244507,0.900948166847229,0.7455980181694031,3109845e90374ef2b5248cc6b14db621
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.9000000357627869, 0.4000000059604645, 0.800000011920929)",ignored,21,0.7699227929115295,0.7572595477104187,0.4190140962600708,0.9464966654777527,0.9062679409980774,0,0.9092192649841309,0.7489677667617798,0.9100466966629028,0.7666835784912109,0.9092192649841309,0.7486052513122559,7c4d2ee91a5d45d09d48916b38dcac23
davidson-thon,3,multi,label_multi,baseline,ignored,ignored,ignored,Loss.CE_Loss,ignored,ignored,42,0.7519835233688354,0.7401774525642395,0.38306450843811035,0.9465806484222412,0.8908872604370117,0,0.9090175628662109,0.7599430084228516,0.9015970826148987,0.7266102433204651,0.9090175628662109,0.7540532946586609,ac30d0e0b28e4dc19ee76401be43dafb
davidson-thon,3,multi,label_multi,baseline,ignored,ignored,ignored,Loss.CE_Loss,ignored,ignored,21,0.7548611164093018,0.7501362562179565,0.42743220925331116,0.9393660426139832,0.8836104273796082,0,0.8975186347961426,0.7385667562484741,0.9039517641067505,0.7640403509140015,0.8975186347961426,0.7596105337142944,7269add5075a4a58a67633462bc0a54f
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,0.0,Loss.CE_Loss,ignored,ignored,0,0.7624777555465698,0.7521834373474121,0.42521995306015015,0.9349365234375,0.8963938355445862,0,0.893080472946167,0.727418065071106,0.9079242944717407,0.7862138748168945,0.8930805325508118,0.7703403234481812,aee7e5f5b9d84f8db9f2595787141e7d
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,-0.5,Loss.CE_Loss,ignored,ignored,0,0.7518812417984009,0.7477231025695801,0.4190751314163208,0.9321557879447937,0.8919382691383362,0,0.8892475366592407,0.7222851514816284,0.9055835008621216,0.7836238145828247,0.8892475366592407,0.7712059020996094,d81ea91c7ab94b9eb53e9d47721bb322
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.9000000357627869, 0.4000000059604645, 0.800000011920929)",ignored,0,0.7830549478530884,0.7663993835449219,0.45771142840385437,0.9430038332939148,0.8984830975532532,0,0.9057897925376892,0.7540836334228516,0.9097906351089478,0.7800619602203369,0.9057897925376892,0.7712199687957764,4f756df0045343fa9b563094971170a1
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,-0.5,Loss.CE_Loss,ignored,ignored,42,0.752417802810669,0.7531722187995911,0.4413580298423767,0.9352232217788696,0.8829353451728821,0,0.893887460231781,0.734573245048523,0.9033796787261963,0.7765712738037109,0.893887460231781,0.7649930715560913,88a8d5a8392045afb6ae1b9f360c4532
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,2.0,Loss.CE_Loss,ignored,ignored,42,0.7545661926269531,0.753639280796051,0.41860464215278625,0.9423710703849792,0.89994215965271,0,0.9031672477722168,0.740369975566864,0.9076182246208191,0.7684955596923828,0.9031672477722168,0.7588337659835815,d902d38960364a2ba7376a331975def2
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(1.2, 0.1, 0.4)",ignored,21,0.7541309595108032,0.7385848164558411,0.39716312289237976,0.9387808442115784,0.8798105120658875,0,0.897922158241272,0.7371636629104614,0.8973913192749023,0.7401704788208008,0.897922158241272,0.7532895803451538,0d3463c028fc48319a1300addad1f8db
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,0.0,Loss.CE_Loss,ignored,ignored,21,0.7476950883865356,0.7438089847564697,0.39408865571022034,0.9376316070556641,0.8997067213058472,0,0.8977203965187073,0.7327356338500977,0.9025478363037109,0.7562322616577148,0.8977203965187073,0.75494784116745,21ff31dbaeee442b9bae76c7137db921
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.10000000149011612, 0.699999988079071, 0.9000000357627869)",ignored,42,0.6087979674339294,0.6110533475875854,0.0,0.9490245580673218,0.8841354846954346,0,0.9106314182281494,0.5977463722229004,0.8578157424926758,0.6251465678215027,0.9106314182281494,0.7447527647018433,bcf5a91d64c043c9a92209921ee47348
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,1.0,Loss.CE_Loss,ignored,ignored,21,0.7465524673461914,0.7399441599845886,0.40280210971832275,0.939130425453186,0.8778998851776123,0,0.8981238603591919,0.7440950870513916,0.8977767825126648,0.7359738349914551,0.8981238603591919,0.7614462375640869,5e2699990ed640c0914cf862a01fd66a
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.5, 0.6, 0.1)",ignored,0,0.7399895787239075,0.729438066482544,0.39304348826408386,0.9397868514060974,0.855483889579773,0,0.8948960900306702,0.7473458051681519,0.8951811790466309,0.7148816585540771,0.8948960900306702,0.7539767026901245,9ed8003761174950a3bd5aea0d6f9030
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(1.2, 0.1, 0.4)",ignored,0,0.7466518878936768,0.7449678182601929,0.4254215359687805,0.9317171573638916,0.8777648210525513,0,0.882993757724762,0.7181457281112671,0.909309983253479,0.793279767036438,0.882993757724762,0.756035566329956,033868c44305456aa40a39f2ba8db74e
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(1.2, 0.1, 0.4)",ignored,42,0.7746900320053101,0.7552587985992432,0.4356120824813843,0.9398416876792908,0.8903225660324097,0,0.8993342518806458,0.7405757308006287,0.9063283205032349,0.7727576494216919,0.8993342518806458,0.7666680216789246,ff1757c7834f40d3bde835f6969e958d
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,1.0,Loss.CE_Loss,ignored,ignored,42,0.7528424263000488,0.7427705526351929,0.4264462888240814,0.9368994832038879,0.8649657964706421,0,0.8940891623497009,0.7453563213348389,0.8971869945526123,0.7418185472488403,0.8940892219543457,0.7526180148124695,41e079d0adde47c3ac1ff6d16129e56b
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,0.5,Loss.CE_Loss,ignored,ignored,21,0.7589472532272339,0.7526335716247559,0.43661972880363464,0.9331732988357544,0.8881077766418457,0,0.88985276222229,0.7296139597892761,0.9070239067077637,0.7877780795097351,0.88985276222229,0.767977237701416,bda8e89ea5214fccabaa8856e542145d
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,1.0,Loss.CE_Loss,ignored,ignored,0,0.7505432963371277,0.738922119140625,0.4129793643951416,0.9307712316513062,0.8730158805847168,0,0.8858180642127991,0.7285890579223633,0.8979958295822144,0.7563890218734741,0.8858180046081543,0.7395531535148621,f3332fe26db9435896340afcff8cd76b
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.5, 0.6000000238418579, 0.20000000298023224)",ignored,21,0.7518283128738403,0.7541101574897766,0.4285714328289032,0.9485331773757935,0.8852258920669556,0,0.9116401076316833,0.7776646614074707,0.9053777456283569,0.736122190952301,0.9116401672363281,0.7545021772384644,b1f68179596b4c2ba817865d8587f117
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,0.0,Loss.CE_Loss,ignored,ignored,42,0.7593609094619751,0.7437052726745605,0.4239271879196167,0.9266932010650635,0.8804953694343567,0,0.8801694512367249,0.7305658459663391,0.9039458632469177,0.7775129079818726,0.8801694512367249,0.7751522064208984,cfa7f4371ab94e9ebd2e5261e519c494
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,2.0,Loss.CE_Loss,ignored,ignored,21,0.7612925171852112,0.756362795829773,0.43381181359291077,0.9406006336212158,0.8946759104728699,0,0.9005447030067444,0.7393008470535278,0.9078668355941772,0.7765864729881287,0.9005446434020996,0.7653236389160156,8284355f39c543168e27ec3ca27fb02b
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.10000000149011612, 0.699999988079071, 0.9000000357627869)",ignored,21,0.7390480041503906,0.7498897314071655,0.4223385751247406,0.9410083293914795,0.8863222002983093,0,0.9019568562507629,0.7526518106460571,0.901888370513916,0.7472290992736816,0.9019568562507629,0.7647250890731812,94d1956d1ffd47cb851d2ddb232679c8
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,0.5,Loss.CE_Loss,ignored,ignored,42,0.7489254474639893,0.7427201271057129,0.4101838767528534,0.933245062828064,0.8847314715385437,0,0.8878353834152222,0.7276884317398071,0.9041948318481445,0.7682902812957764,0.8878353834152222,0.7518757581710815,db53bb7244fb40c68129cc476bf5e3db
